County,Registered Voters,# In Person On 10/27/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","43,535","686,936",25.51%,"41,883","728,819",27.06%,Click Here
DALLAS,"1,467,410","24,922","353,682",24.1%,"19,341","373,023",25.42%,Click Here
TARRANT,"1,309,456","26,743","367,719",28.08%,"19,826","387,545",29.6%,Click Here
BEXAR,"1,295,580","25,960","316,309",24.41%,"17,200","333,509",25.74%,Click Here
TRAVIS,"926,313","17,680","267,449",28.87%,"16,861","284,310",30.69%,Click Here
COLLIN,"748,752","16,988","257,185",34.35%,"8,349","265,534",35.46%,Click Here
DENTON,"661,565","12,713","239,399",36.19%,"8,683","248,082",37.5%,Click Here
FORT BEND,"555,569","8,452","182,158",32.79%,"5,199","187,357",33.72%,Click Here
EL PASO,"521,945","5,900","95,361",18.27%,"8,210","103,571",19.84%,Click Here
MONTGOMERY,"453,832","12,970","127,670",28.13%,"7,916","135,586",29.88%,Click Here
HIDALGO,"446,417","4,970","93,316",20.9%,"4,179","97,495",21.84%,Click Here
WILLIAMSON,"445,326","9,354","155,855",35.0%,"7,090","162,945",36.59%,Click Here
BRAZORIA,"249,840","4,665","86,786",34.74%,"2,204","88,990",35.62%,Click Here
GALVESTON,"245,695","4,291","83,966",34.17%,"4,051","88,017",35.82%,Click Here
BELL,"240,207","4,515","56,853",23.67%,"3,026","59,879",24.93%,Click Here
CAMERON,"238,215","2,509","51,726",21.71%,"2,644","54,370",22.82%,Click Here
NUECES,"218,753",514,"53,531",24.47%,"4,912","58,443",26.72%,Click Here
LUBBOCK,"197,198","2,984","62,363",31.62%,"2,258","64,621",32.77%,Click Here
HAYS,"186,198","3,634","58,677",31.51%,"2,343","61,020",32.77%,Click Here
SMITH,"162,009","2,523","52,833",32.61%,"2,222","55,055",33.98%,Click Here
MCLENNAN,"159,331","2,661","39,155",24.57%,"2,386","41,541",26.07%,Click Here
WEBB,"148,536","1,957","24,745",16.66%,872,"25,617",17.25%,Click Here
JEFFERSON,"147,938","2,535","44,747",30.25%,"2,722","47,469",32.09%,Click Here
ELLIS,"147,399","2,443","48,195",32.7%,"1,408","49,603",33.65%,Click Here
COMAL,"143,696","4,026","50,175",34.92%,"2,889","53,064",36.93%,Click Here
BRAZOS,"133,384","2,880","34,878",26.15%,"2,047","36,925",27.68%,Click Here
GUADALUPE,"130,489","2,525","41,554",31.84%,"2,268","43,822",33.58%,Click Here
JOHNSON,"129,287","2,517","38,450",29.74%,672,"39,122",30.26%,Click Here
PARKER,"127,635","3,263","43,518",34.1%,"1,941","45,459",35.62%,Click Here
KAUFMAN,"108,165","2,407","32,236",29.8%,784,"33,020",30.53%,Click Here
GRAYSON,"100,124","1,472","33,697",33.66%,"1,426","35,123",35.08%,Click Here
RANDALL,"100,105","2,136","33,266",33.23%,"2,053","35,319",35.28%,Click Here
MIDLAND,"99,004","1,982","25,438",25.69%,740,"26,178",26.44%,Click Here
TAYLOR,"89,791","1,532","26,267",29.25%,"1,186","27,453",30.57%,Click Here
ROCKWALL,"87,932","1,476","32,234",36.66%,"1,064","33,298",37.87%,Click Here
ECTOR,"86,640","1,266","16,562",19.12%,"1,008","17,570",20.28%,Click Here
WICHITA,"79,805","1,205","21,405",26.82%,"1,187","22,592",28.31%,Click Here
GREGG,"76,263","1,054","24,793",32.51%,"1,057","25,850",33.9%,Click Here
HUNT,"72,860","1,376","19,069",26.17%,947,"20,016",27.47%,Click Here
TOM GREEN,"72,586","1,007","20,683",28.49%,"1,596","22,279",30.69%,Click Here
BOWIE,"62,656",417,"16,263",25.96%,"1,131","17,394",27.76%,Click Here
BASTROP,"61,403","1,084","18,906",30.79%,963,"19,869",32.36%,Click Here
POTTER,"59,681",687,"14,490",24.28%,"1,103","15,593",26.13%,Click Here
HENDERSON,"59,479",559,"19,541",32.85%,975,"20,516",34.49%,Click Here
VICTORIA,"58,087",944,"13,175",22.68%,"1,999","15,174",26.12%,Click Here
ORANGE,"56,232","1,144","18,415",32.75%,754,"19,169",34.09%,Click Here
ANGELINA,"55,965",546,"17,348",31.0%,803,"18,151",32.43%,Click Here
WISE,"55,864","1,119","20,378",36.48%,683,"21,061",37.7%,Click Here
LIBERTY,"54,530",654,"15,583",28.58%,399,"15,982",29.31%,Click Here
HOOD,"51,704",936,"17,455",33.76%,"1,040","18,495",35.77%,Click Here
HARRISON,"47,283",275,"15,595",32.98%,431,"16,026",33.89%,Click Here
CORYELL,"46,995",554,"11,623",24.73%,580,"12,203",25.97%,Click Here
SAN PATRICIO,"45,265",128,"12,001",26.51%,745,"12,746",28.16%,Click Here
WALLER,"44,330",834,"12,579",28.38%,304,"12,883",29.06%,Click Here
POLK,"44,308",501,"10,681",24.11%,"2,335","13,016",29.38%,Click Here
HARDIN,"43,116",458,"14,695",34.08%,353,"15,048",34.9%,Click Here
VAN ZANDT,"41,749",876,"7,953",19.05%,364,"8,317",19.92%,Click Here
KERR,"40,065",545,"15,632",39.02%,"1,071","16,703",41.69%,Click Here
NACOGDOCHES,"40,051",590,"11,814",29.5%,867,"12,681",31.66%,Click Here
BURNET,"39,186",292,"14,846",37.89%,"1,162","16,008",40.85%,Click Here
WILSON,"39,092","1,031","14,390",36.81%,717,"15,107",38.64%,Click Here
KENDALL,"38,959",706,"16,023",41.13%,"1,083","17,106",43.91%,Click Here
WALKER,"38,958",751,"12,410",31.85%,456,"12,866",33.03%,Click Here
