County,Registered Voters,# In Person On 10/23/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","111,153","353,462",13.12%,"32,203","385,665",14.32%,Click Here
DALLAS,"1,467,410","54,131","167,166",11.39%,"16,744","183,910",12.53%,Click Here
TARRANT,"1,309,456","55,661","171,638",13.11%,"16,076","187,714",14.34%,Click Here
BEXAR,"1,295,580","48,573","143,628",11.09%,"15,100","158,728",12.25%,Click Here
TRAVIS,"926,313","43,659","134,872",14.56%,"13,713","148,585",16.04%,Click Here
COLLIN,"748,752","38,080","123,626",16.51%,"6,496","130,122",17.38%,Click Here
DENTON,"661,565","38,035","132,249",19.99%,"6,722","138,971",21.01%,Click Here
FORT BEND,"555,569","30,128","93,406",16.81%,"3,920","97,326",17.52%,Click Here
EL PASO,"521,945","15,494","49,157",9.42%,"6,933","56,090",10.75%,Click Here
MONTGOMERY,"453,832","18,333","51,925",11.44%,"6,776","58,701",12.93%,Click Here
HIDALGO,"446,417","15,198","49,471",11.08%,"3,426","52,897",11.85%,Click Here
WILLIAMSON,"445,326","25,967","79,227",17.79%,"5,427","84,654",19.01%,Click Here
BRAZORIA,"249,840","13,952","45,857",18.35%,"1,734","47,591",19.05%,Click Here
GALVESTON,"245,695","13,159","45,213",18.4%,"3,444","48,657",19.8%,Click Here
BELL,"240,207","8,499","24,884",10.36%,"2,374","27,258",11.35%,Click Here
CAMERON,"238,215","8,446","29,224",12.27%,"2,398","31,622",13.27%,Click Here
NUECES,"218,753","8,858","28,620",13.08%,"4,101","32,721",14.96%,Click Here
LUBBOCK,"197,198","10,597","34,033",17.26%,"1,894","35,927",18.22%,Click Here
HAYS,"186,198","9,720","29,090",15.62%,"2,269","31,359",16.84%,Click Here
SMITH,"162,009","8,742","27,664",17.08%,"1,390","29,054",17.93%,Click Here
MCLENNAN,"159,331","6,083","18,344",11.51%,"2,029","20,373",12.79%,Click Here
WEBB,"148,536","3,574","11,286",7.6%,732,"12,018",8.09%,Click Here
JEFFERSON,"147,938","7,284","24,603",16.63%,"2,296","26,899",18.18%,Click Here
ELLIS,"147,399","7,874","25,595",17.36%,"1,135","26,730",18.13%,Click Here
COMAL,"143,696","7,640","23,091",16.07%,"2,516","25,607",17.82%,Click Here
BRAZOS,"133,384","5,612","16,118",12.08%,"1,755","17,873",13.4%,Click Here
GUADALUPE,"130,489","12,139","20,784",15.93%,"1,983","22,767",17.45%,Click Here
JOHNSON,"129,287","6,137","17,756",13.73%,577,"18,333",14.18%,Click Here
PARKER,"127,635","6,525","19,889",15.58%,"1,549","21,438",16.8%,Click Here
KAUFMAN,"108,165","4,838","14,710",13.6%,589,"15,299",14.14%,Click Here
GRAYSON,"100,124","5,985","19,249",19.23%,"1,359","20,608",20.58%,Click Here
RANDALL,"100,105","4,988","15,718",15.7%,"1,760","17,478",17.46%,Click Here
MIDLAND,"99,004","3,666","10,432",10.54%,606,"11,038",11.15%,Click Here
TAYLOR,"89,791","4,457","13,169",14.67%,837,"14,006",15.6%,Click Here
ROCKWALL,"87,932","4,957","16,081",18.29%,816,"16,897",19.22%,Click Here
ECTOR,"86,640","2,415","7,763",8.96%,898,"8,661",10.0%,Click Here
WICHITA,"79,805","3,634","10,655",13.35%,961,"11,616",14.56%,Click Here
GREGG,"76,263","4,051","13,846",18.16%,838,"14,684",19.25%,Click Here
HUNT,"72,860","2,928","8,932",12.26%,703,"9,635",13.22%,Click Here
TOM GREEN,"72,586","3,468","10,447",14.39%,"1,418","11,865",16.35%,Click Here
BOWIE,"62,656","2,757","8,766",13.99%,"1,006","9,772",15.6%,Click Here
BASTROP,"61,403","2,939","9,828",16.01%,845,"10,673",17.38%,Click Here
POTTER,"59,681","2,252","7,756",13.0%,971,"8,727",14.62%,Click Here
HENDERSON,"59,479","3,318","11,357",19.09%,695,"12,052",20.26%,Click Here
VICTORIA,"58,087","2,083","6,273",10.8%,"1,744","8,017",13.8%,Click Here
ORANGE,"56,232","2,849","9,235",16.42%,689,"9,924",17.65%,Click Here
ANGELINA,"55,965","2,892","10,141",18.12%,704,"10,845",19.38%,Click Here
WISE,"55,864","3,322","10,407",18.63%,591,"10,998",19.69%,Click Here
LIBERTY,"54,530","2,528","8,486",15.56%,371,"8,857",16.24%,Click Here
HOOD,"51,704","3,067","9,050",17.5%,922,"9,972",19.29%,Click Here
HARRISON,"47,283","2,888","9,415",19.91%,423,"9,838",20.81%,Click Here
CORYELL,"46,995","1,843","6,297",13.4%,493,"6,790",14.45%,Click Here
SAN PATRICIO,"45,265","1,877","6,950",15.35%,630,"7,580",16.75%,Click Here
WALLER,"44,330","1,970","6,473",14.6%,246,"6,719",15.16%,Click Here
POLK,"44,308","1,825","5,801",13.09%,"2,002","7,803",17.61%,Click Here
HARDIN,"43,116","2,515","8,777",20.36%,321,"9,098",21.1%,Click Here
VAN ZANDT,"41,749","1,131","3,175",7.6%,270,"3,445",8.25%,Click Here
KERR,"40,065","2,735","9,475",23.65%,948,"10,423",26.02%,Click Here
NACOGDOCHES,"40,051","1,957","6,567",16.4%,728,"7,295",18.21%,Click Here
BURNET,"39,186","2,518","8,623",22.01%,"1,082","9,705",24.77%,Click Here
WILSON,"39,092","2,268","7,353",18.81%,538,"7,891",20.19%,Click Here
KENDALL,"38,959","2,576","7,993",20.52%,817,"8,810",22.61%,Click Here
WALKER,"38,958","2,026","6,414",16.46%,370,"6,784",17.41%,Click Here
MEDINA,"38,525","2,099","7,177",18.63%,427,"7,604",19.74%,Click Here
CHAMBERS,"37,026","2,196","7,898",21.33%,147,"8,045",21.73%,Click Here
STARR,"36,420","1,212","3,647",10.01%,125,"3,772",10.36%,Click Here
MAVERICK,"35,947",775,"2,498",6.95%,158,"2,656",7.39%,Click Here
WOOD,"35,589","1,737","4,670",13.12%,368,"5,038",14.16%,Click Here
RUSK,"34,277","1,476","4,630",13.51%,470,"5,100",14.88%,Click Here
LAMAR,"33,110","1,757","5,630",17.0%,491,"6,121",18.49%,Click Here
NAVARRO,"32,955","1,510","4,774",14.49%,229,"5,003",15.18%,Click Here
ATASCOSA,"32,142","1,271","4,702",14.63%,249,"4,951",15.4%,Click Here
CHEROKEE,"32,121","1,551","5,225",16.27%,336,"5,561",17.31%,Click Here
ANDERSON,"30,613","1,338","4,042",13.2%,372,"4,414",14.42%,Click Here
UPSHUR,"30,374","1,548","4,923",16.21%,395,"5,318",17.51%,Click Here
COOKE,"30,193","1,461","4,752",15.74%,395,"5,147",17.05%,Click Here
VAL VERDE,"30,117",855,"3,299",10.95%,491,"3,790",12.58%,Click Here
CALDWELL,"27,097","1,150","4,093",15.1%,228,"4,321",15.95%,Click Here
HILL,"26,962","1,296","4,142",15.36%,1,"4,143",15.37%,Click Here
WHARTON,"26,422","1,524","5,393",20.41%,288,"5,681",21.5%,Click Here
JIM WELLS,"26,414",775,"2,908",11.01%,201,"3,109",11.77%,Click Here
ERATH,"25,961","1,422","4,645",17.89%,224,"4,869",18.76%,Click Here
WASHINGTON,"25,794","1,553","4,587",17.78%,23,"4,610",17.87%,Click Here
BROWN,"25,500","1,044","2,942",11.54%,438,"3,380",13.25%,Click Here
HOPKINS,"25,383","1,341","4,123",16.24%,314,"4,437",17.48%,Click Here
FANNIN,"24,942","1,151","3,335",13.37%,443,"3,778",15.15%,Click Here
JASPER,"24,496","1,256","5,036",20.56%,211,"5,247",21.42%,Click Here
MATAGORDA,"22,394",990,"3,131",13.98%,254,"3,385",15.12%,Click Here
AUSTIN,"22,116","1,239","4,204",19.01%,262,"4,466",20.19%,Click Here
GILLESPIE,"21,884","1,243","3,722",17.01%,610,"4,332",19.8%,Click Here
CASS,"21,812","1,220","4,126",18.92%,442,"4,568",20.94%,Click Here
GRIMES,"21,080","1,032","3,259",15.46%,308,"3,567",16.92%,Click Here
SAN JACINTO,"20,406",829,"2,192",10.74%,159,"2,351",11.52%,Click Here
PALO PINTO,"20,351",972,"3,313",16.28%,331,"3,644",17.91%,Click Here
ARANSAS,"19,849","1,286","3,795",19.12%,357,"4,152",20.92%,Click Here
BANDERA,"19,026","1,227","3,956",20.79%,250,"4,206",22.11%,Click Here
KLEBERG,"18,689",716,"2,672",14.3%,200,"2,872",15.37%,Click Here
LLANO,"18,455","1,432","4,827",26.16%,565,"5,392",29.22%,Click Here
FAYETTE,"18,353",907,"2,820",15.37%,378,"3,198",17.42%,Click Here
HALE,"18,272",670,"2,386",13.06%,146,"2,532",13.86%,Click Here
TITUS,"18,026",406,"1,320",7.32%,77,"1,397",7.75%,Click Here
UVALDE,"17,929",722,"2,447",13.65%,255,"2,702",15.07%,Click Here
PANOLA,"17,836",803,"2,677",15.01%,247,"2,924",16.39%,Click Here
MILAM,"17,208","1,146","3,574",20.77%,229,"3,803",22.1%,Click Here
HOWARD,"17,198",763,"2,600",15.12%,295,"2,895",16.83%,Click Here
LAMPASAS,"16,913",991,"3,396",20.08%,276,"3,672",21.71%,Click Here
SHELBY,"16,355",647,"2,248",13.75%,201,"2,449",14.97%,Click Here
BEE,"15,979",658,"2,383",14.91%,288,"2,671",16.72%,Click Here
MONTAGUE,"15,649","1,052","3,592",22.95%,169,"3,761",24.03%,Click Here
