County,Registered Voters,# In Person On 10/30/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","85,105","961,268",35.69%,"48,255","1,009,523",37.49%,Click Here
DALLAS,"1,467,410","51,041","509,301",34.71%,"23,873","533,174",36.33%,Click Here
TARRANT,"1,309,456","48,193","525,975",40.17%,"21,955","547,930",41.84%,Click Here
BEXAR,"1,295,580","50,087","470,187",36.29%,"22,548","492,735",38.03%,Click Here
TRAVIS,"926,313","35,902","377,568",40.76%,"19,590","397,158",42.88%,Click Here
COLLIN,"748,752","28,929","352,836",47.12%,"10,387","363,223",48.51%,Click Here
DENTON,"661,565","22,607","311,997",47.16%,"9,833","321,830",48.65%,Click Here
FORT BEND,"555,569","19,709","247,667",44.58%,"6,462","254,129",45.74%,Click Here
EL PASO,"521,945","14,398","139,310",26.69%,"9,177","148,487",28.45%,Click Here
MONTGOMERY,"453,832","21,276","197,139",43.44%,"9,086","206,225",45.44%,Click Here
HIDALGO,"446,417","11,848","129,437",28.99%,"4,705","134,142",30.05%,Click Here
WILLIAMSON,"445,326","17,033","210,771",47.33%,"8,282","219,053",49.19%,Click Here
BRAZORIA,"249,840","7,754","113,765",45.54%,"2,858","116,623",46.68%,Click Here
GALVESTON,"245,695","7,619","110,617",45.02%,"4,601","115,218",46.89%,Click Here
BELL,"240,207","6,956","80,941",33.7%,"3,741","84,682",35.25%,Click Here
CAMERON,"238,215","5,587","69,287",29.09%,"2,960","72,247",30.33%,Click Here
NUECES,"218,753","6,245","74,129",33.89%,"5,528","79,657",36.41%,Click Here
LUBBOCK,"197,198","6,811","84,636",42.92%,"2,647","87,283",44.26%,Click Here
HAYS,"186,198","7,557","82,938",44.54%,"3,436","86,374",46.39%,Click Here
SMITH,"162,009","5,070","70,278",43.38%,"2,433","72,711",44.88%,Click Here
MCLENNAN,"159,331","5,668","57,815",36.29%,"2,760","60,575",38.02%,Click Here
WEBB,"148,536","3,426","35,375",23.82%,"1,059","36,434",24.53%,Click Here
JEFFERSON,"147,938","3,929","58,805",39.75%,"2,932","61,737",41.73%,Click Here
ELLIS,"147,399","4,851","65,230",44.25%,"1,647","66,877",45.37%,Click Here
COMAL,"143,696","6,412","72,698",50.59%,"3,332","76,030",52.91%,Click Here
BRAZOS,"133,384","5,521","52,120",39.08%,"2,335","54,455",40.83%,Click Here
GUADALUPE,"130,489","4,733","56,539",43.33%,"2,469","59,008",45.22%,Click Here
JOHNSON,"129,287","4,911","55,648",43.04%,864,"56,512",43.71%,Click Here
PARKER,"127,635","5,195","61,185",47.94%,"2,190","63,375",49.65%,Click Here
KAUFMAN,"108,165","3,683","44,193",40.86%,"1,001","45,194",41.78%,Click Here
GRAYSON,"100,124","3,195","44,262",44.21%,"1,634","45,896",45.84%,Click Here
RANDALL,"100,105","3,381","44,635",44.59%,"2,307","46,942",46.89%,Click Here
MIDLAND,"99,004","3,522","37,062",37.43%,891,"37,953",38.33%,Click Here
TAYLOR,"89,791","2,569","35,409",39.43%,"1,385","36,794",40.98%,Click Here
ROCKWALL,"87,932","3,325","43,749",49.75%,"1,301","45,050",51.23%,Click Here
ECTOR,"86,640","2,344","23,889",27.57%,"1,174","25,063",28.93%,Click Here
WICHITA,"79,805","2,203","28,428",35.62%,"1,422","29,850",37.4%,Click Here
GREGG,"76,263","1,875","31,419",41.2%,"1,103","32,522",42.64%,Click Here
HUNT,"72,860","2,384","26,872",36.88%,"1,049","27,921",38.32%,Click Here
TOM GREEN,"72,586","2,370","28,535",39.31%,"1,790","30,325",41.78%,Click Here
BOWIE,"62,656","1,705","22,370",35.7%,"1,258","23,628",37.71%,Click Here
BASTROP,"61,403","2,102","25,818",42.05%,"1,073","26,891",43.79%,Click Here
POTTER,"59,681","1,406","19,049",31.92%,"1,269","20,318",34.04%,Click Here
HENDERSON,"59,479","1,724","25,713",43.23%,"1,058","26,771",45.01%,Click Here
VICTORIA,"58,087","2,020","19,542",33.64%,"2,152","21,694",37.35%,Click Here
ORANGE,"56,232","1,672","24,430",43.45%,754,"25,184",44.79%,Click Here
ANGELINA,"55,965","1,338","22,449",40.11%,896,"23,345",41.71%,Click Here
WISE,"55,864","1,817","26,464",47.37%,773,"27,237",48.76%,Click Here
LIBERTY,"54,530","1,427","20,560",37.7%,461,"21,021",38.55%,Click Here
HOOD,"51,704","1,978","24,688",47.75%,"1,222","25,910",50.11%,Click Here
HARRISON,"47,283","1,272","20,184",42.69%,452,"20,636",43.64%,Click Here
CORYELL,"46,995","1,087","15,184",32.31%,688,"15,872",33.77%,Click Here
SAN PATRICIO,"45,265","1,055","15,638",34.55%,839,"16,477",36.4%,Click Here
WALLER,"44,330","1,468","17,388",39.22%,444,"17,832",40.23%,Click Here
POLK,"44,308",883,"13,898",31.37%,"2,341","16,239",36.65%,Click Here
HARDIN,"43,116","1,200","19,081",44.26%,444,"19,525",45.28%,Click Here
