County,Registered Voters,# In Person On 10/24/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","104,172","457,634",16.99%,"34,485","492,119",18.27%,Click Here
DALLAS,"1,467,410","50,876","218,042",14.86%,"18,027","236,069",16.09%,Click Here
TARRANT,"1,309,456","54,820","226,458",17.29%,"16,955","243,413",18.59%,Click Here
BEXAR,"1,295,580","48,661","192,289",14.84%,"15,546","207,835",16.04%,Click Here
TRAVIS,"926,313","42,121","176,993",19.11%,"14,988","191,981",20.73%,Click Here
COLLIN,"748,752","36,220","159,846",21.35%,"7,149","166,995",22.3%,Click Here
DENTON,"661,565","33,887","166,136",25.11%,"6,798","172,934",26.14%,Click Here
FORT BEND,"555,569","28,083","121,489",21.87%,"4,455","125,944",22.67%,Click Here
EL PASO,"521,945","14,760","63,917",12.25%,"7,330","71,247",13.65%,Click Here
MONTGOMERY,"453,832","19,112","71,037",15.65%,"7,139","78,176",17.23%,Click Here
HIDALGO,"446,417","13,885","63,356",14.19%,"3,694","67,050",15.02%,Click Here
WILLIAMSON,"445,326","24,841","104,068",23.37%,"6,077","110,145",24.73%,Click Here
BRAZORIA,"249,840","12,458","58,315",23.34%,"1,909","60,224",24.11%,Click Here
GALVESTON,"245,695","11,538","56,751",23.1%,"3,661","60,412",24.59%,Click Here
BELL,"240,207","8,478","33,362",13.89%,"2,753","36,115",15.03%,Click Here
CAMERON,"238,215","7,324","36,548",15.34%,"2,535","39,083",16.41%,Click Here
NUECES,"218,753","8,176","36,796",16.82%,"4,446","41,242",18.85%,Click Here
LUBBOCK,"197,198","9,735","43,768",22.19%,"2,170","45,938",23.3%,Click Here
HAYS,"186,198","9,500","38,590",20.73%,"2,275","40,865",21.95%,Click Here
SMITH,"162,009","8,127","35,791",22.09%,"1,756","37,547",23.18%,Click Here
MCLENNAN,"159,331","5,822","24,166",15.17%,"2,108","26,274",16.49%,Click Here
WEBB,"148,536","3,343","14,629",9.85%,820,"15,449",10.4%,Click Here
JEFFERSON,"147,938","6,063","30,666",20.73%,"2,494","33,160",22.41%,Click Here
ELLIS,"147,399","6,987","32,582",22.1%,"1,237","33,819",22.94%,Click Here
COMAL,"143,696","7,611","30,702",21.37%,"2,651","33,353",23.21%,Click Here
BRAZOS,"133,384","5,314","21,432",16.07%,"1,861","23,293",17.46%,Click Here
GUADALUPE,"130,489","6,644","27,428",21.02%,"2,038","29,466",22.58%,Click Here
