County,Registered Voters,# In Person On 10/22/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","115,836","242,309",9.0%,"28,823","271,132",10.07%,Click Here
DALLAS,"1,467,410","56,694","113,035",7.7%,"14,989","128,024",8.72%,Click Here
TARRANT,"1,309,456","57,490","115,977",8.86%,"14,349","130,326",9.95%,Click Here
BEXAR,"1,295,580","48,148","95,055",7.34%,"13,786","108,841",8.4%,Click Here
TRAVIS,"926,313","44,603","91,213",9.85%,"11,973","103,186",11.14%,Click Here
COLLIN,"748,752","41,559","85,546",11.43%,"5,541","91,087",12.17%,Click Here
DENTON,"661,565","43,553","94,214",14.24%,"6,710","100,924",15.26%,Click Here
FORT BEND,"555,569","31,046","63,278",11.39%,"3,609","66,887",12.04%,Click Here
EL PASO,"521,945","15,798","33,663",6.45%,"6,453","40,116",7.69%,Click Here
MONTGOMERY,"453,832","17,046","33,592",7.4%,"6,149","39,741",8.76%,Click Here
HIDALGO,"446,417","16,000","34,273",7.68%,"3,032","37,305",8.36%,Click Here
WILLIAMSON,"445,326","26,019","53,260",11.96%,"4,561","57,821",12.98%,Click Here
BRAZORIA,"249,840","15,245","31,905",12.77%,"1,723","33,628",13.46%,Click Here
GALVESTON,"245,695","15,027","32,054",13.05%,"3,114","35,168",14.31%,Click Here
BELL,"240,207","8,541","16,385",6.82%,"2,284","18,669",7.77%,Click Here
CAMERON,"238,215","9,706","20,778",8.72%,"2,164","22,942",9.63%,Click Here
NUECES,"218,753","9,832","19,762",9.03%,"3,703","23,465",10.73%,Click Here
LUBBOCK,"197,198","11,402","23,436",11.88%,"1,729","25,165",12.76%,Click Here
HAYS,"186,198","10,029","19,370",10.4%,"2,006","21,376",11.48%,Click Here
SMITH,"162,009","9,340","18,922",11.68%,"1,348","20,270",12.51%,Click Here
MCLENNAN,"159,331","6,131","12,261",7.7%,"2,023","14,284",8.96%,Click Here
WEBB,"148,536","3,599","7,712",5.19%,603,"8,315",5.6%,Click Here
JEFFERSON,"147,938","8,095","17,319",11.71%,"2,094","19,413",13.12%,Click Here
ELLIS,"147,399","8,550","17,721",12.02%,"1,033","18,754",12.72%,Click Here
COMAL,"143,696","7,926","15,451",10.75%,"2,125","17,576",12.23%,Click Here
BRAZOS,"133,384","5,347","10,506",7.88%,"1,646","12,152",9.11%,Click Here
GUADALUPE,"130,489","1,745","8,645",6.63%,"1,671","10,316",7.91%,Click Here
JOHNSON,"129,287","6,103","11,619",8.99%,525,"12,144",9.39%,Click Here
PARKER,"127,635","6,571","13,364",10.47%,"1,529","14,893",11.67%,Click Here
KAUFMAN,"108,165","4,911","9,872",9.13%,589,"10,461",9.67%,Click Here
GRAYSON,"100,124","6,433","13,264",13.25%,"1,263","14,527",14.51%,Click Here
RANDALL,"100,105","5,309","10,730",10.72%,"1,646","12,376",12.36%,Click Here
MIDLAND,"99,004","3,548","6,766",6.83%,537,"7,303",7.38%,Click Here
TAYLOR,"89,791","4,592","8,712",9.7%,837,"9,549",10.63%,Click Here
ROCKWALL,"87,932","5,405","11,124",12.65%,696,"11,820",13.44%,Click Here
ECTOR,"86,640","2,625","5,348",6.17%,824,"6,172",7.12%,Click Here
WICHITA,"79,805","3,470","7,021",8.8%,875,"7,896",9.89%,Click Here
GREGG,"76,263","4,738","9,795",12.84%,753,"10,548",13.83%,Click Here
HUNT,"72,860","2,941","6,004",8.24%,608,"6,612",9.07%,Click Here
TOM GREEN,"72,586","3,643","6,979",9.61%,"1,359","8,338",11.49%,Click Here
BOWIE,"62,656","2,863","6,009",9.59%,936,"6,945",11.08%,Click Here
BASTROP,"61,403","3,193","6,889",11.22%,782,"7,671",12.49%,Click Here
POTTER,"59,681","2,533","5,504",9.22%,906,"6,410",10.74%,Click Here
HENDERSON,"59,479","3,695","8,039",13.52%,695,"8,734",14.68%,Click Here
VICTORIA,"58,087","2,095","4,190",7.21%,"1,663","5,853",10.08%,Click Here
ORANGE,"56,232","3,145","6,386",11.36%,648,"7,034",12.51%,Click Here
ANGELINA,"55,965","3,367","7,249",12.95%,633,"7,882",14.08%,Click Here
WISE,"55,864","3,526","7,085",12.68%,489,"7,574",13.56%,Click Here
LIBERTY,"54,530","2,863","5,958",10.93%,346,"6,304",11.56%,Click Here
HOOD,"51,704","2,954","5,983",11.57%,855,"6,838",13.23%,Click Here
HARRISON,"47,283","3,221","6,527",13.8%,413,"6,940",14.68%,Click Here
CORYELL,"46,995","2,093","4,454",9.48%,474,"4,928",10.49%,Click Here
SAN PATRICIO,"45,265","2,243","5,073",11.21%,579,"5,652",12.49%,Click Here
WALLER,"44,330","2,041","4,503",10.16%,212,"4,715",10.64%,Click Here
POLK,"44,308","1,984","3,976",8.97%,"1,884","5,860",13.23%,Click Here
HARDIN,"43,116","2,943","6,262",14.52%,296,"6,558",15.21%,Click Here
VAN ZANDT,"41,749","1,092","2,044",4.9%,224,"2,268",5.43%,Click Here
KERR,"40,065","3,174","6,740",16.82%,870,"7,610",18.99%,Click Here
NACOGDOCHES,"40,051","2,133","4,610",11.51%,721,"5,331",13.31%,Click Here
BURNET,"39,186","2,884","6,105",15.58%,977,"7,082",18.07%,Click Here
WILSON,"39,092","2,377","5,085",13.01%,477,"5,562",14.23%,Click Here
KENDALL,"38,959","2,720","5,417",13.9%,801,"6,218",15.96%,Click Here
WALKER,"38,958","2,214","4,388",11.26%,321,"4,709",12.09%,Click Here
MEDINA,"38,525","2,312","5,078",13.18%,392,"5,470",14.2%,Click Here
CHAMBERS,"37,026","2,538","5,702",15.4%,143,"5,845",15.79%,Click Here
STARR,"36,420","1,179","2,435",6.69%,115,"2,550",7.0%,Click Here
MAVERICK,"35,947",841,"1,723",4.79%,112,"1,835",5.1%,Click Here
WOOD,"35,589","1,574","2,933",8.24%,289,"3,222",9.05%,Click Here
RUSK,"34,277","1,594","3,154",9.2%,422,"3,576",10.43%,Click Here
LAMAR,"33,110","1,845","3,873",11.7%,458,"4,331",13.08%,Click Here
NAVARRO,"32,955","1,593","3,264",9.9%,172,"3,436",10.43%,Click Here
ATASCOSA,"32,142","1,511","3,431",10.67%,199,"3,630",11.29%,Click Here
CHEROKEE,"32,121","1,739","3,674",11.44%,317,"3,991",12.42%,Click Here
ANDERSON,"30,613","1,386","2,704",8.83%,323,"3,027",9.89%,Click Here
UPSHUR,"30,374","1,628","3,375",11.11%,360,"3,735",12.3%,Click Here
COOKE,"30,193","1,585","3,291",10.9%,360,"3,651",12.09%,Click Here
VAL VERDE,"30,117","1,098","2,444",8.12%,450,"2,894",9.61%,Click Here
CALDWELL,"27,097","1,302","2,943",10.86%,218,"3,161",11.67%,Click Here
HILL,"26,962","1,511","2,846",10.56%,1,"2,847",10.56%,Click Here
WHARTON,"26,422","1,823","3,869",14.64%,256,"4,125",15.61%,Click Here
JIM WELLS,"26,414",993,"2,133",8.08%,195,"2,328",8.81%,Click Here
ERATH,"25,961","1,470","3,223",12.41%,201,"3,424",13.19%,Click Here
WASHINGTON,"25,794","1,554","3,034",11.76%,21,"3,055",11.84%,Click Here
BROWN,"25,500","1,018","1,898",7.44%,412,"2,310",9.06%,Click Here
HOPKINS,"25,383","1,457","2,782",10.96%,290,"3,072",12.1%,Click Here
FANNIN,"24,942","1,115","2,184",8.76%,423,"2,607",10.45%,Click Here
JASPER,"24,496","1,672","3,780",15.43%,200,"3,980",16.25%,Click Here
MATAGORDA,"22,394","1,014","2,141",9.56%,212,"2,353",10.51%,Click Here
AUSTIN,"22,116","1,370","2,965",13.41%,243,"3,208",14.51%,Click Here
GILLESPIE,"21,884","1,170","2,479",11.33%,581,"3,060",13.98%,Click Here
CASS,"21,812","1,386","2,906",13.32%,412,"3,318",15.21%,Click Here
GRIMES,"21,080","1,013","2,227",10.56%,254,"2,481",11.77%,Click Here
SAN JACINTO,"20,406",725,"1,363",6.68%,121,"1,484",7.27%,Click Here
PALO PINTO,"20,351","1,009","2,341",11.5%,313,"2,654",13.04%,Click Here
ARANSAS,"19,849","1,270","2,509",12.64%,357,"2,866",14.44%,Click Here
BANDERA,"19,026","1,342","2,729",14.34%,220,"2,949",15.5%,Click Here
KLEBERG,"18,689",909,"1,956",10.47%,169,"2,125",11.37%,Click Here
LLANO,"18,455","1,601","3,395",18.4%,541,"3,936",21.33%,Click Here
FAYETTE,"18,353",971,"1,913",10.42%,355,"2,268",12.36%,Click Here
HALE,"18,272",802,"1,716",9.39%,133,"1,849",10.12%,Click Here
TITUS,"18,026",445,914,5.07%,45,959,5.32%,Click Here
UVALDE,"17,929",814,"1,725",9.62%,229,"1,954",10.9%,Click Here
PANOLA,"17,836",857,"1,874",10.51%,230,"2,104",11.8%,Click Here
MILAM,"17,208","1,130","2,428",14.11%,207,"2,635",15.31%,Click Here
HOWARD,"17,198",852,"1,837",10.68%,292,"2,129",12.38%,Click Here
LAMPASAS,"16,913","1,104","2,405",14.22%,257,"2,662",15.74%,Click Here
SHELBY,"16,355",759,"1,601",9.79%,180,"1,781",10.89%,Click Here
BEE,"15,979",754,"1,725",10.8%,264,"1,989",12.45%,Click Here
MONTAGUE,"15,649","1,147","2,540",16.23%,155,"2,695",17.22%,Click Here
TYLER,"14,888",739,"1,354",9.09%,80,"1,434",9.63%,Click Here
COLORADO,"14,775","1,025","2,165",14.65%,234,"2,399",16.24%,Click Here
LIMESTONE,"14,443",849,"1,870",12.95%,173,"2,043",14.15%,Click Here
LAVACA,"14,389",762,"1,466",10.19%,225,"1,691",11.75%,Click Here
HOCKLEY,"13,984",684,"1,496",10.7%,130,"1,626",11.63%,Click Here
HOUSTON,"13,901",687,"1,371",9.86%,325,"1,696",12.2%,Click Here
BURLESON,"13,840",824,"1,521",10.99%,246,"1,767",12.77%,Click Here
BOSQUE,"13,638",748,"1,705",12.5%,115,"1,820",13.35%,Click Here
HUTCHINSON,"13,442",965,"2,090",15.55%,135,"2,225",16.55%,Click Here
FREESTONE,"13,406",905,"1,927",14.37%,2,"1,929",14.39%,Click Here
CALHOUN,"13,223",649,"1,407",10.64%,135,"1,542",11.66%,Click Here
GONZALES,"13,174",725,"1,572",11.93%,163,"1,735",13.17%,Click Here
LEON,"12,654",721,"1,450",11.46%,199,"1,649",13.03%,Click Here
ROBERTSON,"12,600",757,"1,652",13.11%,10,"1,662",13.19%,Click Here
EASTLAND,"12,520",754,"1,583",12.64%,229,"1,812",14.47%,Click Here
YOUNG,"12,394",911,"2,042",16.48%,91,"2,133",17.21%,Click Here
GRAY,"12,317",680,"1,481",12.02%,223,"1,704",13.83%,Click Here
TRINITY,"12,283",788,"1,758",14.31%,58,"1,816",14.78%,Click Here
LEE,"12,168",705,"1,540",12.66%,134,"1,674",13.76%,Click Here
WILLACY,"11,703",337,757,6.47%,3,760,6.49%,Click Here
DEWITT,"11,357",691,"1,518",13.37%,226,"1,744",15.36%,Click Here
BLANCO,"11,014",975,"2,111",19.17%,142,"2,253",20.46%,Click Here
JONES,"10,883",341,792,7.28%,157,949,8.72%,Click Here
ANDREWS,"10,739",496,"1,141",10.62%,51,"1,192",11.1%,Click Here
FALLS,"10,562",377,775,7.34%,0,775,7.34%,Click Here
GAINES,"10,467",585,"1,168",11.16%,50,"1,218",11.64%,Click Here
CALLAHAN,"10,439",673,"1,517",14.53%,8,"1,525",14.61%,Click Here
MOORE,"10,130",427,926,9.14%,92,"1,018",10.05%,Click Here
COMANCHE,"10,022",620,"1,347",13.44%,142,"1,489",14.86%,Click Here
JACKSON,"9,894",536,"1,015",10.26%,5,"1,020",10.31%,Click Here
FRIO,"9,526",214,541,5.68%,123,664,6.97%,Click Here
NEWTON,"9,486",423,935,9.86%,43,978,10.31%,Click Here
RAINS,"9,404",549,"1,043",11.09%,108,"1,151",12.24%,Click Here
SCURRY,"9,366",554,"1,221",13.04%,72,"1,293",13.81%,Click Here
MORRIS,"8,948",440,970,10.84%,108,"1,078",12.05%,Click Here
DEAF SMITH,"8,756",314,762,8.7%,94,856,9.78%,Click Here
RED RIVER,"8,746",488,"1,181",13.5%,107,"1,288",14.73%,Click Here
NOLAN,"8,494",381,770,9.07%,57,827,9.74%,Click Here
MADISON,"8,471",466,968,11.43%,81,"1,049",12.38%,Click Here
KARNES,"8,449",348,740,8.76%,174,914,10.82%,Click Here
SABINE,"8,446",524,"1,098",13.0%,145,"1,243",14.72%,Click Here
CAMP,"8,424",472,"1,099",13.05%,128,"1,227",14.57%,Click Here
PECOS,"8,328",308,691,8.3%,58,749,8.99%,Click Here
CLAY,"8,291",435,956,11.53%,108,"1,064",12.83%,Click Here
ZAPATA,"8,182",292,682,8.34%,2,684,8.36%,Click Here
WILBARGER,"8,126",411,891,10.96%,143,"1,034",12.72%,Click Here
DUVAL,"8,031",304,650,8.09%,254,904,11.26%,Click Here
LAMB,"7,883",260,544,6.9%,2,546,6.93%,Click Here
REEVES,"7,838",217,465,5.93%,108,573,7.31%,Click Here
MARION,"7,822",427,977,12.49%,107,"1,084",13.86%,Click Here
ZAVALA,"7,810",182,371,4.75%,47,418,5.35%,Click Here
LIVE OAK,"7,774",407,842,10.83%,76,918,11.81%,Click Here
FRANKLIN,"7,599",459,994,13.08%,87,"1,081",14.23%,Click Here
SOMERVELL,"7,420",542,"1,147",15.46%,43,"1,190",16.04%,Click Here
BREWSTER,"7,408",427,925,12.49%,155,"1,080",14.58%,Click Here
WARD,"7,047",294,649,9.21%,58,707,10.03%,Click Here
ARCHER,"7,008",467,"1,046",14.93%,52,"1,098",15.67%,Click Here
RUNNELS,"6,807",308,606,8.9%,68,674,9.9%,Click Here
DAWSON,"6,776",326,697,10.29%,0,697,10.29%,Click Here
DIMMIT,"6,706",200,412,6.14%,121,533,7.95%,Click Here
TERRY,"6,412",275,647,10.09%,70,717,11.18%,Click Here
HAMILTON,"6,260",367,769,12.28%,64,833,13.31%,Click Here
COLEMAN,"6,139",459,"1,020",16.62%,108,"1,128",18.37%,Click Here
SAN AUGUSTINE,"6,038",369,765,12.67%,83,848,14.04%,Click Here
STEPHENS,"5,881",417,879,14.95%,73,952,16.19%,Click Here
