County,Registered Voters,# In Person On 10/25/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","112,980","570,614",21.19%,"37,722","608,336",22.59%,Click Here
DALLAS,"1,467,410","57,247","275,289",18.76%,"19,341","294,630",20.08%,Click Here
TARRANT,"1,309,456","59,816","286,274",21.86%,"18,544","304,818",23.28%,Click Here
BEXAR,"1,295,580","50,303","242,592",18.72%,"15,866","258,458",19.95%,Click Here
TRAVIS,"926,313","44,736","221,729",23.94%,"16,042","237,771",25.67%,Click Here
COLLIN,"748,752","42,187","202,033",26.98%,"7,922","209,955",28.04%,Click Here
DENTON,"661,565","37,986","204,122",30.85%,"7,513","211,635",31.99%,Click Here
FORT BEND,"555,569","30,937","152,426",27.44%,"4,494","156,920",28.24%,Click Here
EL PASO,"521,945","15,599","79,516",15.23%,"7,343","86,859",16.64%,Click Here
MONTGOMERY,"453,832","20,152","91,189",20.09%,"7,595","98,784",21.77%,Click Here
HIDALGO,"446,417","14,349","77,705",17.41%,"4,056","81,761",18.31%,Click Here
WILLIAMSON,"445,326","26,269","130,337",29.27%,"6,664","137,001",30.76%,Click Here
BRAZORIA,"249,840","14,164","72,479",29.01%,"2,188","74,667",29.89%,Click Here
GALVESTON,"245,695","13,356","70,107",28.53%,"3,887","73,994",30.12%,Click Here
BELL,"240,207","9,024","42,386",17.65%,"2,988","45,374",18.89%,Click Here
CAMERON,"238,215","7,537","44,085",18.51%,"2,600","46,685",19.6%,Click Here
NUECES,"218,753","8,938","45,734",20.91%,"4,731","50,465",23.07%,Click Here
LUBBOCK,"197,198","9,578","53,346",27.05%,"2,258","55,604",28.2%,Click Here
HAYS,"186,198","9,719","48,309",25.94%,"2,343","50,652",27.2%,Click Here
SMITH,"162,009","8,348","44,139",27.24%,"2,054","46,193",28.51%,Click Here
MCLENNAN,"159,331","6,372","30,538",19.17%,"2,350","32,888",20.64%,Click Here
WEBB,"148,536","3,534","18,163",12.23%,841,"19,004",12.79%,Click Here
JEFFERSON,"147,938","6,794","37,460",25.32%,"2,620","40,080",27.09%,Click Here
ELLIS,"147,399","8,001","40,583",27.53%,"1,325","41,908",28.43%,Click Here
COMAL,"143,696","7,834","38,536",26.82%,"2,750","41,286",28.73%,Click Here
BRAZOS,"133,384","5,457","26,889",20.16%,"1,952","28,841",21.62%,Click Here
GUADALUPE,"130,489","7,094","34,522",26.46%,"2,207","36,729",28.15%,Click Here
JOHNSON,"129,287","6,928","30,633",23.69%,644,"31,277",24.19%,Click Here
PARKER,"127,635","7,646","34,087",26.71%,"1,871","35,958",28.17%,Click Here
KAUFMAN,"108,165","5,105","24,478",22.63%,784,"25,262",23.36%,Click Here
GRAYSON,"100,124","5,338","29,793",29.76%,"1,362","31,155",31.12%,Click Here
RANDALL,"100,105","5,332","25,991",25.96%,"1,955","27,946",27.92%,Click Here
MIDLAND,"99,004","4,667","19,328",19.52%,710,"20,038",20.24%,Click Here
TAYLOR,"89,791","4,317","21,650",24.11%,943,"22,593",25.16%,Click Here
ROCKWALL,"87,932","5,349","26,145",29.73%,"1,019","27,164",30.89%,Click Here
ECTOR,"86,640","2,684","12,757",14.72%,"1,008","13,765",15.89%,Click Here
WICHITA,"79,805","3,366","17,368",21.76%,"1,187","18,555",23.25%,Click Here
GREGG,"76,263","3,711","21,116",27.69%,839,"21,955",28.79%,Click Here
HUNT,"72,860","3,144","14,783",20.29%,902,"15,685",21.53%,Click Here
TOM GREEN,"72,586","3,450","17,171",23.66%,"1,566","18,737",25.81%,Click Here
BOWIE,"62,656","2,849","14,284",22.8%,"1,111","15,395",24.57%,Click Here
