County,Registered Voters,# In Person On 10/21/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","126,473","126,473",4.7%,"25,602","152,075",5.65%,Click Here
DALLAS,"1,467,410","56,341","56,341",3.84%,"14,201","70,542",4.81%,Click Here
TARRANT,"1,309,456","58,487","58,487",4.47%,"13,870","72,357",5.53%,Click Here
BEXAR,"1,295,580","46,907","46,907",3.62%,"12,599","59,506",4.59%,Click Here
TRAVIS,"926,313","46,610","46,610",5.03%,"11,193","57,803",6.24%,Click Here
COLLIN,"748,752","43,987","43,987",5.87%,"4,979","48,966",6.54%,Click Here
DENTON,"661,565","50,661","50,661",7.66%,"5,538","56,199",8.49%,Click Here
FORT BEND,"555,569","32,232","32,232",5.8%,"3,365","35,597",6.41%,Click Here
EL PASO,"521,945","17,865","17,865",3.42%,"5,804","23,669",4.53%,Click Here
MONTGOMERY,"453,832","16,546","16,546",3.65%,"5,963","22,509",4.96%,Click Here
HIDALGO,"446,417","18,273","18,273",4.09%,"2,864","21,137",4.73%,Click Here
WILLIAMSON,"445,326","27,241","27,241",6.12%,"4,473","31,714",7.12%,Click Here
BRAZORIA,"249,840","16,660","16,660",6.67%,"1,697","18,357",7.35%,Click Here
GALVESTON,"245,695","17,027","17,027",6.93%,"2,833","19,860",8.08%,Click Here
BELL,"240,207","7,844","7,844",3.27%,"2,190","10,034",4.18%,Click Here
CAMERON,"238,215","11,072","11,072",4.65%,"1,958","13,030",5.47%,Click Here
NUECES,"218,753","9,930","9,930",4.54%,"3,211","13,141",6.01%,Click Here
LUBBOCK,"197,198","12,034","12,034",6.1%,"1,621","13,655",6.92%,Click Here
HAYS,"186,198","9,341","9,341",5.02%,"2,006","11,347",6.09%,Click Here
SMITH,"162,009","9,582","9,582",5.91%,"1,330","10,912",6.74%,Click Here
MCLENNAN,"159,331","6,130","6,130",3.85%,"1,518","7,648",4.8%,Click Here
WEBB,"148,536","4,113","4,113",2.77%,481,"4,594",3.09%,Click Here
JEFFERSON,"147,938","9,224","9,224",6.24%,"2,012","11,236",7.6%,Click Here
ELLIS,"147,399","9,171","9,171",6.22%,973,"10,144",6.88%,Click Here
COMAL,"143,696","7,525","7,525",5.24%,"2,079","9,604",6.68%,Click Here
BRAZOS,"133,384","5,159","5,159",3.87%,"1,572","6,731",5.05%,Click Here
GUADALUPE,"130,489","6,900","6,900",5.29%,"1,663","8,563",6.56%,Click Here
JOHNSON,"129,287","5,516","5,516",4.27%,519,"6,035",4.67%,Click Here
PARKER,"127,635","6,793","6,793",5.32%,"1,500","8,293",6.5%,Click Here
KAUFMAN,"108,165","4,961","4,961",4.59%,589,"5,550",5.13%,Click Here
GRAYSON,"100,124","6,831","6,831",6.82%,904,"7,735",7.73%,Click Here
RANDALL,"100,105","5,421","5,421",5.42%,"1,591","7,012",7.0%,Click Here
MIDLAND,"99,004","3,218","3,218",3.25%,452,"3,670",3.71%,Click Here
TAYLOR,"89,791","4,120","4,120",4.59%,738,"4,858",5.41%,Click Here
ROCKWALL,"87,932","5,719","5,719",6.5%,660,"6,379",7.25%,Click Here
ECTOR,"86,640","2,723","2,723",3.14%,739,"3,462",4.0%,Click Here
WICHITA,"79,805","3,551","3,551",4.45%,872,"4,423",5.54%,Click Here
GREGG,"76,263","5,057","5,057",6.63%,753,"5,810",7.62%,Click Here
HUNT,"72,860","3,063","3,063",4.2%,544,"3,607",4.95%,Click Here
TOM GREEN,"72,586","3,336","3,336",4.6%,"1,272","4,608",6.35%,Click Here
BOWIE,"62,656","3,146","3,146",5.02%,913,"4,059",6.48%,Click Here
BASTROP,"61,403","3,696","3,696",6.02%,782,"4,478",7.29%,Click Here
POTTER,"59,681","2,971","2,971",4.98%,895,"3,866",6.48%,Click Here
HENDERSON,"59,479","4,344","4,344",7.3%,655,"4,999",8.4%,Click Here
VICTORIA,"58,087","2,095","2,095",3.61%,"1,660","3,755",6.46%,Click Here
ORANGE,"56,232","3,241","3,241",5.76%,626,"3,867",6.88%,Click Here
ANGELINA,"55,965","3,878","3,882",6.94%,624,"4,506",8.05%,Click Here
WISE,"55,864","3,559","3,559",6.37%,464,"4,023",7.2%,Click Here
LIBERTY,"54,530","3,095","3,095",5.68%,339,"3,434",6.3%,Click Here
HOOD,"51,704","3,029","3,029",5.86%,822,"3,851",7.45%,Click Here
HARRISON,"47,283","3,306","3,306",6.99%,408,"3,714",7.85%,Click Here
CORYELL,"46,995","2,361","2,361",5.02%,474,"2,835",6.03%,Click Here
SAN PATRICIO,"45,265","2,830","2,830",6.25%,520,"3,350",7.4%,Click Here
WALLER,"44,330","2,462","2,462",5.55%,209,"2,671",6.03%,Click Here
POLK,"44,308","1,992","1,992",4.5%,"1,759","3,751",8.47%,Click Here
HARDIN,"43,116","3,319","3,319",7.7%,270,"3,589",8.32%,Click Here
VAN ZANDT,"41,749",952,952,2.28%,207,"1,159",2.78%,Click Here
KERR,"40,065","3,566","3,566",8.9%,848,"4,414",11.02%,Click Here
NACOGDOCHES,"40,051","2,477","2,477",6.18%,640,"3,117",7.78%,Click Here
BURNET,"39,186","3,221","3,221",8.22%,890,"4,111",10.49%,Click Here
WILSON,"39,092","2,708","2,708",6.93%,445,"3,153",8.07%,Click Here
KENDALL,"38,959","2,697","2,697",6.92%,801,"3,498",8.98%,Click Here
WALKER,"38,958","2,174","2,174",5.58%,315,"2,489",6.39%,Click Here
MEDINA,"38,525","2,766","2,766",7.18%,367,"3,133",8.13%,Click Here
CHAMBERS,"37,026","3,164","3,164",8.55%,134,"3,298",8.91%,Click Here
STARR,"36,420","1,256","1,256",3.45%,109,"1,365",3.75%,Click Here
MAVERICK,"35,947",882,882,2.45%,112,994,2.77%,Click Here
WOOD,"35,589","1,357","1,359",3.82%,289,"1,648",4.63%,Click Here
RUSK,"34,277","1,560","1,560",4.55%,421,"1,981",5.78%,Click Here
LAMAR,"33,110","2,028","2,028",6.13%,420,"2,448",7.39%,Click Here
NAVARRO,"32,955","1,671","1,671",5.07%,169,"1,840",5.58%,Click Here
ATASCOSA,"32,142","1,920","1,920",5.97%,191,"2,111",6.57%,Click Here
CHEROKEE,"32,121","1,935","1,935",6.02%,312,"2,247",7.0%,Click Here
ANDERSON,"30,613","1,318","1,318",4.31%,316,"1,634",5.34%,Click Here
UPSHUR,"30,374","1,747","1,747",5.75%,312,"2,059",6.78%,Click Here
COOKE,"30,193","1,706","1,706",5.65%,353,"2,059",6.82%,Click Here
VAL VERDE,"30,117","1,346","1,346",4.47%,420,"1,766",5.86%,Click Here
CALDWELL,"27,097","1,641","1,641",6.06%,208,"1,849",6.82%,Click Here
HILL,"26,962","1,335","1,335",4.95%,1,"1,336",4.96%,Click Here
WHARTON,"26,422","2,046","2,046",7.74%,219,"2,265",8.57%,Click Here
JIM WELLS,"26,414","1,140","1,140",4.32%,183,"1,323",5.01%,Click Here
ERATH,"25,961","1,753","1,753",6.75%,145,"1,898",7.31%,Click Here
WASHINGTON,"25,794","1,480","1,480",5.74%,19,"1,499",5.81%,Click Here
BROWN,"25,500",880,880,3.45%,403,"1,283",5.03%,Click Here
HOPKINS,"25,383","1,325","1,325",5.22%,270,"1,595",6.28%,Click Here
FANNIN,"24,942","1,069","1,069",4.29%,410,"1,479",5.93%,Click Here
JASPER,"24,496","2,108","2,108",8.61%,195,"2,303",9.4%,Click Here
MATAGORDA,"22,394","1,127","1,127",5.03%,202,"1,329",5.93%,Click Here
AUSTIN,"22,116","1,595","1,595",7.21%,228,"1,823",8.24%,Click Here
