County,Registered Voters,# In Person On 10/31/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","86,702","1,047,970",38.91%,"50,867","1,098,837",40.8%,Click Here
DALLAS,"1,467,410","48,964","558,265",38.04%,"25,009","583,274",39.75%,Click Here
TARRANT,"1,309,456","44,963","570,938",43.6%,"22,940","593,878",45.35%,Click Here
BEXAR,"1,295,580","45,223","515,410",39.78%,"24,903","540,313",41.7%,Click Here
TRAVIS,"926,313","35,831","413,399",44.63%,"20,587","433,986",46.85%,Click Here
COLLIN,"748,752","27,865","380,701",50.84%,"10,900","391,601",52.3%,Click Here
DENTON,"661,565","21,761","333,758",50.45%,"10,207","343,965",51.99%,Click Here
FORT BEND,"555,569","18,735","266,402",47.95%,"6,893","273,295",49.19%,Click Here
EL PASO,"521,945","13,457","152,767",29.27%,"9,447","162,214",31.08%,Click Here
MONTGOMERY,"453,832","18,775","215,914",47.58%,"9,390","225,304",49.64%,Click Here
HIDALGO,"446,417","11,345","140,782",31.54%,"4,827","145,609",32.62%,Click Here
WILLIAMSON,"445,326","16,110","226,881",50.95%,"8,738","235,619",52.91%,Click Here
BRAZORIA,"249,840","7,600","121,365",48.58%,"2,999","124,364",49.78%,Click Here
GALVESTON,"245,695","6,680","117,297",47.74%,"4,733","122,030",49.67%,Click Here
BELL,"240,207","6,447","87,388",36.38%,"3,911","91,299",38.01%,Click Here
CAMERON,"238,215","5,266","74,553",31.3%,"3,106","77,659",32.6%,Click Here
NUECES,"218,753","5,772","79,901",36.53%,"5,699","85,600",39.13%,Click Here
LUBBOCK,"197,198","5,767","90,403",45.84%,"2,700","93,103",47.21%,Click Here
HAYS,"186,198","7,011","89,949",48.31%,"3,443","93,392",50.16%,Click Here
SMITH,"162,009","4,460","74,738",46.13%,"2,601","77,339",47.74%,Click Here
MCLENNAN,"159,331","5,054","62,869",39.46%,"2,776","65,645",41.2%,Click Here
WEBB,"148,536","2,989","38,364",25.83%,"1,120","39,484",26.58%,Click Here
JEFFERSON,"147,938","3,392","62,197",42.04%,"2,996","65,193",44.07%,Click Here
ELLIS,"147,399","5,768","70,998",48.17%,"1,702","72,700",49.32%,Click Here
COMAL,"143,696","5,379","78,077",54.33%,"3,397","81,474",56.7%,Click Here
BRAZOS,"133,384","5,228","57,348",42.99%,"2,423","59,771",44.81%,Click Here
GUADALUPE,"130,489","4,163","60,702",46.52%,"2,565","63,267",48.48%,Click Here
JOHNSON,"129,287","4,622","60,270",46.62%,909,"61,179",47.32%,Click Here
PARKER,"127,635","4,762","65,947",51.67%,"2,267","68,214",53.44%,Click Here
KAUFMAN,"108,165","3,424","47,617",44.02%,"1,001","48,618",44.95%,Click Here
GRAYSON,"100,124","2,754","47,016",46.96%,"1,734","48,750",48.69%,Click Here
RANDALL,"100,105","3,378","48,013",47.96%,"2,366","50,379",50.33%,Click Here
MIDLAND,"99,004","3,377","40,439",40.85%,924,"41,363",41.78%,Click Here
TAYLOR,"89,791","2,399","37,808",42.11%,"1,435","39,243",43.7%,Click Here
ROCKWALL,"87,932","3,029","46,778",53.2%,"1,351","48,129",54.73%,Click Here
ECTOR,"86,640","2,110","25,999",30.01%,"1,257","27,256",31.46%,Click Here
WICHITA,"79,805","2,027","30,455",38.16%,"1,422","31,877",39.94%,Click Here
GREGG,"76,263","1,785","33,204",43.54%,"1,165","34,369",45.07%,Click Here
HUNT,"72,860","2,197","29,069",39.9%,"1,053","30,122",41.34%,Click Here
TOM GREEN,"72,586","2,039","30,574",42.12%,"1,846","32,420",44.66%,Click Here
BOWIE,"62,656","1,524","23,894",38.14%,"1,293","25,187",40.2%,Click Here
BASTROP,"61,403","2,035","27,853",45.36%,"1,073","28,926",47.11%,Click Here
POTTER,"59,681","1,602","20,651",34.6%,"1,311","21,962",36.8%,Click Here
HENDERSON,"59,479","1,451","27,164",45.67%,"1,116","28,280",47.55%,Click Here
VICTORIA,"58,087","1,836","21,378",36.8%,"2,161","23,539",40.52%,Click Here
ORANGE,"56,232","1,317","25,747",45.79%,754,"26,501",47.13%,Click Here
ANGELINA,"55,965","1,431","23,880",42.67%,907,"24,787",44.29%,Click Here
WISE,"55,864","1,662","28,126",50.35%,799,"28,925",51.78%,Click Here
LIBERTY,"54,530","1,426","21,986",40.32%,491,"22,477",41.22%,Click Here
HOOD,"51,704","1,683","26,371",51.0%,"1,261","27,632",53.44%,Click Here
HARRISON,"47,283","1,502","21,686",45.86%,453,"22,139",46.82%,Click Here
CORYELL,"46,995",995,"16,179",34.43%,741,"16,920",36.0%,Click Here
SAN PATRICIO,"45,265","1,114","16,752",37.01%,840,"17,592",38.86%,Click Here
WALLER,"44,330","1,486","18,874",42.58%,444,"19,318",43.58%,Click Here
POLK,"44,308",810,"14,708",33.19%,"2,343","17,051",38.48%,Click Here
HARDIN,"43,116",948,"20,029",46.45%,452,"20,481",47.5%,Click Here
VAN ZANDT,"41,749","1,587","14,327",34.32%,469,"14,796",35.44%,Click Here
KERR,"40,065","1,109","21,127",52.73%,"1,298","22,425",55.97%,Click Here
NACOGDOCHES,"40,051","1,032","16,539",41.29%,973,"17,512",43.72%,Click Here
BURNET,"39,186","1,435","20,256",51.69%,"1,378","21,634",55.21%,Click Here
WILSON,"39,092","1,067","19,598",50.13%,857,"20,455",52.33%,Click Here
KENDALL,"38,959","1,343","22,492",57.73%,"1,254","23,746",60.95%,Click Here
WALKER,"38,958","1,121","17,841",45.8%,579,"18,420",47.28%,Click Here
MEDINA,"38,525","1,098","18,166",47.15%,603,"18,769",48.72%,Click Here
CHAMBERS,"37,026",986,"18,569",50.15%,235,"18,804",50.79%,Click Here
STARR,"36,420",889,"10,776",29.59%,168,"10,944",30.05%,Click Here
MAVERICK,"35,947",735,"9,595",26.69%,212,"9,807",27.28%,Click Here
WOOD,"35,589","1,168","16,777",47.14%,873,"17,650",49.59%,Click Here
RUSK,"34,277",793,"13,943",40.68%,672,"14,615",42.64%,Click Here
LAMAR,"33,110",887,"14,199",42.88%,689,"14,888",44.97%,Click Here
NAVARRO,"32,955",778,"12,138",36.83%,334,"12,472",37.85%,Click Here
ATASCOSA,"32,142",808,"12,083",37.59%,359,"12,442",38.71%,Click Here
CHEROKEE,"32,121",913,"14,235",44.32%,439,"14,674",45.68%,Click Here
ANDERSON,"30,613",835,"12,502",40.84%,492,"12,994",42.45%,Click Here
UPSHUR,"30,374",837,"13,330",43.89%,531,"13,861",45.63%,Click Here
COOKE,"30,193",862,"12,713",42.11%,558,"13,271",43.95%,Click Here
VAL VERDE,"30,117",647,"9,065",30.1%,716,"9,781",32.48%,Click Here
CALDWELL,"27,097",727,"10,860",40.08%,376,"11,236",41.47%,Click Here
HILL,"26,962",719,"10,923",40.51%,253,"11,176",41.45%,Click Here
WHARTON,"26,422",813,"12,121",45.87%,400,"12,521",47.39%,Click Here
JIM WELLS,"26,414",660,"8,137",30.81%,304,"8,441",31.96%,Click Here
ERATH,"25,961",812,"12,152",46.81%,347,"12,499",48.15%,Click Here
WASHINGTON,"25,794",829,"13,240",51.33%,40,"13,280",51.48%,Click Here
BROWN,"25,500",885,"10,554",41.39%,581,"11,135",43.67%,Click Here
HOPKINS,"25,383",681,"11,235",44.26%,398,"11,633",45.83%,Click Here
FANNIN,"24,942",741,"10,579",42.41%,541,"11,120",44.58%,Click Here
JASPER,"24,496",492,"10,992",44.87%,309,"11,301",46.13%,Click Here
MATAGORDA,"22,394",566,"9,214",41.14%,365,"9,579",42.77%,Click Here
AUSTIN,"22,116",655,"10,645",48.13%,424,"11,069",50.05%,Click Here
GILLESPIE,"21,884",769,"11,414",52.16%,803,"12,217",55.83%,Click Here
CASS,"21,812",539,"9,681",44.38%,522,"10,203",46.78%,Click Here
GRIMES,"21,080",638,"9,056",42.96%,428,"9,484",44.99%,Click Here
SAN JACINTO,"20,406",601,"8,367",41.0%,328,"8,695",42.61%,Click Here
PALO PINTO,"20,351",508,"7,345",36.09%,412,"7,757",38.12%,Click Here
ARANSAS,"19,849",571,"9,687",48.8%,357,"10,044",50.6%,Click Here
BANDERA,"19,026",676,"10,356",54.43%,357,"10,713",56.31%,Click Here
KLEBERG,"18,689",370,"6,490",34.73%,315,"6,805",36.41%,Click Here
LLANO,"18,455",516,"10,495",56.87%,704,"11,199",60.68%,Click Here
FAYETTE,"18,353",510,"8,000",43.59%,521,"8,521",46.43%,Click Here
HALE,"18,272",408,"6,043",33.07%,192,"6,235",34.12%,Click Here
TITUS,"18,026",204,"3,235",17.95%,133,"3,368",18.68%,Click Here
UVALDE,"17,929",448,"6,130",34.19%,316,"6,446",35.95%,Click Here
PANOLA,"17,836",441,"6,721",37.68%,305,"7,026",39.39%,Click Here
MILAM,"17,208",466,"8,042",46.73%,314,"8,356",48.56%,Click Here
HOWARD,"17,198",339,"6,671",38.79%,339,"7,010",40.76%,Click Here
LAMPASAS,"16,913",403,"8,202",48.5%,363,"8,565",50.64%,Click Here
SHELBY,"16,355",338,"5,814",35.55%,278,"6,092",37.25%,Click Here
BEE,"15,979",340,"5,599",35.04%,367,"5,966",37.34%,Click Here
MONTAGUE,"15,649",424,"8,078",51.62%,227,"8,305",53.07%,Click Here
TYLER,"14,888",351,"5,776",38.8%,241,"6,017",40.42%,Click Here
