County,Registered Voters,# In Person On 10/26/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","72,787","643,401",23.89%,"40,472","683,873",25.39%,Click Here
DALLAS,"1,467,410","53,471","328,760",22.4%,"19,341","348,101",23.72%,Click Here
TARRANT,"1,309,456","54,702","340,976",26.04%,"19,826","360,802",27.55%,Click Here
BEXAR,"1,295,580","47,757","290,349",22.41%,"16,450","306,799",23.68%,Click Here
TRAVIS,"926,313","28,040","249,769",26.96%,"16,861","266,630",28.78%,Click Here
COLLIN,"748,752","38,164","240,197",32.08%,"8,348","248,545",33.19%,Click Here
DENTON,"661,565","22,564","226,686",34.27%,"8,650","235,336",35.57%,Click Here
FORT BEND,"555,569","21,280","173,706",31.27%,"5,199","178,905",32.2%,Click Here
EL PASO,"521,945","9,945","89,461",17.14%,"7,665","97,126",18.61%,Click Here
MONTGOMERY,"453,832","23,511","114,700",25.27%,"7,916","122,616",27.02%,Click Here
HIDALGO,"446,417","10,641","88,346",19.79%,"4,179","92,525",20.73%,Click Here
WILLIAMSON,"445,326","16,164","146,501",32.9%,"7,091","153,592",34.49%,Click Here
BRAZORIA,"249,840","9,642","82,121",32.87%,"2,204","84,325",33.75%,Click Here
GALVESTON,"245,695","9,568","79,675",32.43%,"3,887","83,562",34.01%,Click Here
BELL,"240,207","9,952","52,338",21.79%,"3,026","55,364",23.05%,Click Here
CAMERON,"238,215","5,132","49,217",20.66%,"2,636","51,853",21.77%,Click Here
NUECES,"218,753","7,283","53,017",24.24%,"4,912","57,929",26.48%,Click Here
LUBBOCK,"197,198","6,033","59,379",30.11%,"2,258","61,637",31.26%,Click Here
HAYS,"186,198","6,734","55,043",29.56%,"2,343","57,386",30.82%,Click Here
SMITH,"162,009","6,171","50,310",31.05%,"2,159","52,469",32.39%,Click Here
MCLENNAN,"159,331","5,956","36,494",22.9%,"2,386","38,880",24.4%,Click Here
WEBB,"148,536","4,625","22,788",15.34%,872,"23,660",15.93%,Click Here
JEFFERSON,"147,938","4,752","42,212",28.53%,"2,722","44,934",30.37%,Click Here
ELLIS,"147,399","5,169","45,752",31.04%,"1,408","47,160",31.99%,Click Here
COMAL,"143,696","7,613","46,149",32.12%,"2,889","49,038",34.13%,Click Here
BRAZOS,"133,384","5,109","31,998",23.99%,"2,047","34,045",25.52%,Click Here
GUADALUPE,"130,489","4,507","39,029",29.91%,"2,208","41,237",31.6%,Click Here
JOHNSON,"129,287","5,300","35,933",27.79%,654,"36,587",28.3%,Click Here
PARKER,"127,635","6,168","40,255",31.54%,"1,941","42,196",33.06%,Click Here
KAUFMAN,"108,165","5,351","29,829",27.58%,784,"30,613",28.3%,Click Here
GRAYSON,"100,124","2,432","32,225",32.19%,"1,426","33,651",33.61%,Click Here
RANDALL,"100,105","5,139","31,130",31.1%,"2,053","33,183",33.15%,Click Here
MIDLAND,"99,004","4,128","23,456",23.69%,739,"24,195",24.44%,Click Here
TAYLOR,"89,791","3,085","24,735",27.55%,"1,129","25,864",28.8%,Click Here
ROCKWALL,"87,932","4,613","30,758",34.98%,"1,064","31,822",36.19%,Click Here
ECTOR,"86,640","2,539","15,296",17.65%,"1,008","16,304",18.82%,Click Here
WICHITA,"79,805","2,832","20,200",25.31%,"1,187","21,387",26.8%,Click Here
GREGG,"76,263","2,623","23,739",31.13%,964,"24,703",32.39%,Click Here
HUNT,"72,860","2,910","17,693",24.28%,947,"18,640",25.58%,Click Here
TOM GREEN,"72,586","2,505","19,676",27.11%,"1,596","21,272",29.31%,Click Here
BOWIE,"62,656","1,562","15,846",25.29%,"1,131","16,977",27.1%,Click Here
BASTROP,"61,403","2,358","17,822",29.02%,963,"18,785",30.59%,Click Here
POTTER,"59,681","1,693","13,803",23.13%,"1,103","14,906",24.98%,Click Here
HENDERSON,"59,479","1,570","18,982",31.91%,913,"19,895",33.45%,Click Here
VICTORIA,"58,087","1,765","12,231",21.06%,"1,999","14,230",24.5%,Click Here
ORANGE,"56,232","2,444","17,271",30.71%,754,"18,025",32.05%,Click Here
