County,Registered Voters,# In Person On 10/29/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","92,310","876,163",32.53%,"45,691","921,854",34.23%,Click Here
DALLAS,"1,467,410","50,679","458,260",31.23%,"22,711","480,971",32.78%,Click Here
TARRANT,"1,309,456","51,978","477,782",36.49%,"21,294","499,076",38.11%,Click Here
BEXAR,"1,295,580","51,378","420,100",32.43%,"19,971","440,071",33.97%,Click Here
TRAVIS,"926,313","36,655","341,666",36.88%,"17,433","359,099",38.77%,Click Here
COLLIN,"748,752","31,284","323,907",43.26%,"9,622","333,529",44.54%,Click Here
DENTON,"661,565","23,492","289,390",43.74%,"9,758","299,148",45.22%,Click Here
FORT BEND,"555,569","21,474","227,958",41.03%,"6,045","234,003",42.12%,Click Here
EL PASO,"521,945","14,701","124,912",23.93%,"8,515","133,427",25.56%,Click Here
MONTGOMERY,"453,832","23,804","175,863",38.75%,"8,559","184,422",40.64%,Click Here
HIDALGO,"446,417","11,808","117,589",26.34%,"4,497","122,086",27.35%,Click Here
WILLIAMSON,"445,326","17,969","193,738",43.5%,"7,876","201,614",45.27%,Click Here
BRAZORIA,"249,840","8,866","106,011",42.43%,"2,663","108,674",43.5%,Click Here
GALVESTON,"245,695","8,788","102,998",41.92%,"4,434","107,432",43.73%,Click Here
BELL,"240,207","8,119","73,985",30.8%,"3,526","77,511",32.27%,Click Here
CAMERON,"238,215","5,730","63,700",26.74%,"2,878","66,578",27.95%,Click Here
NUECES,"218,753","6,752","67,884",31.03%,"5,319","73,203",33.46%,Click Here
LUBBOCK,"197,198","7,472","77,825",39.47%,"2,574","80,399",40.77%,Click Here
HAYS,"186,198","7,888","75,381",40.48%,"3,302","78,683",42.26%,Click Here
SMITH,"162,009","5,677","65,208",40.25%,"2,366","67,574",41.71%,Click Here
MCLENNAN,"159,331","6,282","52,147",32.73%,"2,550","54,697",34.33%,Click Here
WEBB,"148,536","3,551","31,949",21.51%,"1,021","32,970",22.2%,Click Here
JEFFERSON,"147,938","4,668","54,876",37.09%,"2,856","57,732",39.02%,Click Here
ELLIS,"147,399","5,636","60,379",40.96%,"1,569","61,948",42.03%,Click Here
COMAL,"143,696","7,612","66,286",46.13%,"3,117","69,403",48.3%,Click Here
BRAZOS,"133,384","5,971","46,599",34.94%,"2,249","48,848",36.62%,Click Here
GUADALUPE,"130,489","4,790","51,806",39.7%,"2,388","54,194",41.53%,Click Here
JOHNSON,"129,287","5,661","50,737",39.24%,784,"51,521",39.85%,Click Here
PARKER,"127,635","5,860","55,990",43.87%,"2,132","58,122",45.54%,Click Here
KAUFMAN,"108,165","3,804","40,510",37.45%,917,"41,427",38.3%,Click Here
GRAYSON,"100,124","3,519","41,067",41.02%,"1,604","42,671",42.62%,Click Here
RANDALL,"100,105","3,730","41,254",41.21%,"2,267","43,521",43.48%,Click Here
MIDLAND,"99,004","3,929","33,540",33.88%,846,"34,386",34.73%,Click Here
TAYLOR,"89,791","3,068","32,840",36.57%,"1,284","34,124",38.0%,Click Here
ROCKWALL,"87,932","3,655","40,424",45.97%,"1,253","41,677",47.4%,Click Here
ECTOR,"86,640","2,439","21,545",24.87%,"1,174","22,719",26.22%,Click Here
WICHITA,"79,805","2,351","26,225",32.86%,"1,376","27,601",34.59%,Click Here
GREGG,"76,263","2,187","29,544",38.74%,"1,063","30,607",40.13%,Click Here
HUNT,"72,860","2,496","24,488",33.61%,978,"25,466",34.95%,Click Here
TOM GREEN,"72,586","2,562","26,165",36.05%,"1,742","27,907",38.45%,Click Here
BOWIE,"62,656","2,121","20,665",32.98%,"1,226","21,891",34.94%,Click Here
BASTROP,"61,403","2,244","23,716",38.62%,"1,073","24,789",40.37%,Click Here
POTTER,"59,681","1,422","17,643",29.56%,"1,217","18,860",31.6%,Click Here
HENDERSON,"59,479","2,005","23,989",40.33%,"1,007","24,996",42.02%,Click Here
VICTORIA,"58,087","2,157","17,522",30.17%,"2,114","19,636",33.8%,Click Here
ORANGE,"56,232","2,050","22,758",40.47%,754,"23,512",41.81%,Click Here
ANGELINA,"55,965","1,755","21,111",37.72%,856,"21,967",39.25%,Click Here
WISE,"55,864","1,916","24,647",44.12%,753,"25,400",45.47%,Click Here
LIBERTY,"54,530","1,609","19,133",35.09%,442,"19,575",35.9%,Click Here
HOOD,"51,704","2,281","22,710",43.92%,"1,170","23,880",46.19%,Click Here
HARRISON,"47,283","1,473","18,912",40.0%,450,"19,362",40.95%,Click Here
CORYELL,"46,995","1,119","14,097",30.0%,671,"14,768",31.42%,Click Here
SAN PATRICIO,"45,265","1,408","14,583",32.22%,811,"15,394",34.01%,Click Here
WALLER,"44,330","1,568","15,920",35.91%,444,"16,364",36.91%,Click Here
POLK,"44,308","1,075","13,015",29.37%,"2,341","15,356",34.66%,Click Here
HARDIN,"43,116","1,398","17,881",41.47%,424,"18,305",42.46%,Click Here
VAN ZANDT,"41,749","1,653","11,246",26.94%,448,"11,694",28.01%,Click Here
KERR,"40,065","1,510","18,720",46.72%,"1,218","19,938",49.76%,Click Here
NACOGDOCHES,"40,051","1,211","14,465",36.12%,924,"15,389",38.42%,Click Here
BURNET,"39,186","1,276","17,684",45.13%,"1,303","18,987",48.45%,Click Here
WILSON,"39,092","1,315","17,334",44.34%,795,"18,129",46.38%,Click Here
KENDALL,"38,959","1,669","19,618",50.36%,"1,188","20,806",53.4%,Click Here
WALKER,"38,958","1,412","15,434",39.62%,524,"15,958",40.96%,Click Here
MEDINA,"38,525","1,224","15,966",41.44%,565,"16,531",42.91%,Click Here
CHAMBERS,"37,026","1,267","16,473",44.49%,203,"16,676",45.04%,Click Here
STARR,"36,420",864,"8,869",24.35%,157,"9,026",24.78%,Click Here
MAVERICK,"35,947",790,"7,976",22.19%,201,"8,177",22.75%,Click Here
WOOD,"35,589","2,032","14,164",39.8%,773,"14,937",41.97%,Click Here
RUSK,"34,277","1,159","12,112",35.34%,608,"12,720",37.11%,Click Here
LAMAR,"33,110",977,"12,411",37.48%,645,"13,056",39.43%,Click Here
NAVARRO,"32,955",907,"10,544",32.0%,333,"10,877",33.01%,Click Here
ATASCOSA,"32,142",822,"10,425",32.43%,329,"10,754",33.46%,Click Here
CHEROKEE,"32,121","1,152","12,433",38.71%,396,"12,829",39.94%,Click Here
ANDERSON,"30,613","1,139","10,659",34.82%,466,"11,125",36.34%,Click Here
UPSHUR,"30,374",980,"11,675",38.44%,493,"12,168",40.06%,Click Here
COOKE,"30,193","1,056","10,921",36.17%,502,"11,423",37.83%,Click Here
VAL VERDE,"30,117",650,"7,880",26.16%,657,"8,537",28.35%,Click Here
CALDWELL,"27,097",864,"9,409",34.72%,339,"9,748",35.97%,Click Here
HILL,"26,962",806,"9,454",35.06%,239,"9,693",35.95%,Click Here
WHARTON,"26,422",833,"10,597",40.11%,382,"10,979",41.55%,Click Here
JIM WELLS,"26,414",667,"6,867",26.0%,273,"7,140",27.03%,Click Here
ERATH,"25,961",967,"10,499",40.44%,321,"10,820",41.68%,Click Here
WASHINGTON,"25,794","1,133","11,551",44.78%,35,"11,586",44.92%,Click Here
BROWN,"25,500","1,057","8,719",34.19%,551,"9,270",36.35%,Click Here
HOPKINS,"25,383",869,"9,773",38.5%,375,"10,148",39.98%,Click Here
FANNIN,"24,942",895,"9,071",36.37%,527,"9,598",38.48%,Click Here
JASPER,"24,496",697,"9,897",40.4%,286,"10,183",41.57%,Click Here
MATAGORDA,"22,394",723,"8,014",35.79%,347,"8,361",37.34%,Click Here
AUSTIN,"22,116",824,"9,324",42.16%,390,"9,714",43.92%,Click Here
GILLESPIE,"21,884","1,075","9,691",44.28%,764,"10,455",47.77%,Click Here
CASS,"21,812",636,"8,517",39.05%,510,"9,027",41.39%,Click Here
GRIMES,"21,080",743,"7,767",36.85%,405,"8,172",38.77%,Click Here
SAN JACINTO,"20,406",868,"7,073",34.66%,288,"7,361",36.07%,Click Here
PALO PINTO,"20,351",7,"6,826",33.54%,387,"7,213",35.44%,Click Here
ARANSAS,"19,849",769,"8,512",42.88%,357,"8,869",44.68%,Click Here
BANDERA,"19,026",884,"8,907",46.81%,312,"9,219",48.45%,Click Here
KLEBERG,"18,689",476,"5,692",30.46%,273,"5,965",31.92%,Click Here
LLANO,"18,455",741,"9,432",51.11%,671,"10,103",54.74%,Click Here
FAYETTE,"18,353",664,"6,879",37.48%,477,"7,356",40.08%,Click Here
HALE,"18,272",506,"5,191",28.41%,181,"5,372",29.4%,Click Here
TITUS,"18,026",232,"2,848",15.8%,117,"2,965",16.45%,Click Here
UVALDE,"17,929",442,"5,308",29.61%,297,"5,605",31.26%,Click Here
PANOLA,"17,836",587,"5,783",32.42%,289,"6,072",34.04%,Click Here
MILAM,"17,208",530,"7,007",40.72%,288,"7,295",42.39%,Click Here
HOWARD,"17,198",449,"5,915",34.39%,335,"6,250",36.34%,Click Here
LAMPASAS,"16,913",547,"7,263",42.94%,350,"7,613",45.01%,Click Here
SHELBY,"16,355",430,"5,132",31.38%,267,"5,399",33.01%,Click Here
BEE,"15,979",382,"4,910",30.73%,329,"5,239",32.79%,Click Here
MONTAGUE,"15,649",536,"7,195",45.98%,214,"7,409",47.34%,Click Here
TYLER,"14,888",459,"5,101",34.26%,211,"5,312",35.68%,Click Here
COLORADO,"14,775",527,"6,040",40.88%,312,"6,352",42.99%,Click Here
LIMESTONE,"14,443",420,"5,427",37.58%,228,"5,655",39.15%,Click Here
LAVACA,"14,389",543,"5,664",39.36%,503,"6,167",42.86%,Click Here
HOCKLEY,"13,984",386,"4,476",32.01%,190,"4,666",33.37%,Click Here
HOUSTON,"13,901",463,"4,829",34.74%,400,"5,229",37.62%,Click Here
BURLESON,"13,840",492,"5,610",40.53%,299,"5,909",42.7%,Click Here
BOSQUE,"13,638",427,"5,108",37.45%,202,"5,310",38.94%,Click Here
HUTCHINSON,"13,442",374,"5,051",37.58%,185,"5,236",38.95%,Click Here
FREESTONE,"13,406",386,"5,402",40.3%,2,"5,404",40.31%,Click Here
CALHOUN,"13,223",381,"4,182",31.63%,178,"4,360",32.97%,Click Here
GONZALES,"13,174",364,"4,630",35.14%,228,"4,858",36.88%,Click Here
LEON,"12,654",401,"4,756",37.58%,241,"4,997",39.49%,Click Here
ROBERTSON,"12,600",434,"4,890",38.81%,11,"4,901",38.9%,Click Here
EASTLAND,"12,520",444,"4,781",38.19%,332,"5,113",40.84%,Click Here
YOUNG,"12,394",435,"5,435",43.85%,151,"5,586",45.07%,Click Here
GRAY,"12,317",295,"4,504",36.57%,332,"4,836",39.26%,Click Here
TRINITY,"12,283",338,"4,646",37.82%,125,"4,771",38.84%,Click Here
LEE,"12,168",444,"4,916",40.4%,201,"5,117",42.05%,Click Here
WILLACY,"11,703",222,"2,504",21.4%,61,"2,565",21.92%,Click Here
DEWITT,"11,357",388,"4,406",38.8%,284,"4,690",41.3%,Click Here
BLANCO,"11,014",498,"5,877",53.36%,218,"6,095",55.34%,Click Here
JONES,"10,883",267,"3,043",27.96%,207,"3,250",29.86%,Click Here
ANDREWS,"10,739",376,"3,695",34.41%,68,"3,763",35.04%,Click Here
FALLS,"10,562",272,"2,577",24.4%,186,"2,763",26.16%,Click Here
GAINES,"10,467",322,"4,025",38.45%,63,"4,088",39.06%,Click Here
CALLAHAN,"10,439",332,"4,230",40.52%,33,"4,263",40.84%,Click Here
MOORE,"10,130",227,"2,811",27.75%,129,"2,940",29.02%,Click Here
COMANCHE,"10,022",333,"3,808",38.0%,187,"3,995",39.86%,Click Here
JACKSON,"9,894",363,"3,781",38.22%,9,"3,790",38.31%,Click Here
FRIO,"9,526",182,"2,127",22.33%,222,"2,349",24.66%,Click Here
NEWTON,"9,486",243,"2,830",29.83%,92,"2,922",30.8%,Click Here
RAINS,"9,404",340,"3,970",42.22%,159,"4,129",43.91%,Click Here
SCURRY,"9,366",258,"3,382",36.11%,94,"3,476",37.11%,Click Here
MORRIS,"8,948",212,"2,843",31.77%,144,"2,987",33.38%,Click Here
DEAF SMITH,"8,756",231,"2,270",25.93%,134,"2,404",27.46%,Click Here
RED RIVER,"8,746",260,"3,299",37.72%,158,"3,457",39.53%,Click Here
NOLAN,"8,494",200,"2,373",27.94%,100,"2,473",29.11%,Click Here
MADISON,"8,471",333,"3,247",38.33%,118,"3,365",39.72%,Click Here
KARNES,"8,449",206,"2,393",28.32%,233,"2,626",31.08%,Click Here
SABINE,"8,446",242,"3,363",39.82%,194,"3,557",42.11%,Click Here
CAMP,"8,424",242,"3,198",37.96%,177,"3,375",40.06%,Click Here
PECOS,"8,328",223,"2,257",27.1%,103,"2,360",28.34%,Click Here
CLAY,"8,291",223,"2,947",35.54%,142,"3,089",37.26%,Click Here
ZAPATA,"8,182",213,"2,431",29.71%,45,"2,476",30.26%,Click Here
WILBARGER,"8,126",219,"2,642",32.51%,192,"2,834",34.88%,Click Here
DUVAL,"8,031",161,"2,373",29.55%,426,"2,799",34.85%,Click Here
LAMB,"7,883",164,"1,647",20.89%,109,"1,756",22.28%,Click Here
REEVES,"7,838",135,"1,689",21.55%,140,"1,829",23.34%,Click Here
MARION,"7,822",218,"2,540",32.47%,180,"2,720",34.77%,Click Here
ZAVALA,"7,810",159,"1,479",18.94%,68,"1,547",19.81%,Click Here
LIVE OAK,"7,774",245,"2,760",35.5%,104,"2,864",36.84%,Click Here
FRANKLIN,"7,599",282,"3,062",40.29%,113,"3,175",41.78%,Click Here
SOMERVELL,"7,420",292,"3,385",45.62%,86,"3,471",46.78%,Click Here
BREWSTER,"7,408",209,"2,511",33.9%,202,"2,713",36.62%,Click Here
WARD,"7,047",169,"1,892",26.85%,83,"1,975",28.03%,Click Here
ARCHER,"7,008",260,"3,028",43.21%,78,"3,106",44.32%,Click Here
RUNNELS,"6,807",159,"1,929",28.34%,94,"2,023",29.72%,Click Here
