County,Registered Voters,# In Person On 10/28/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HARRIS,"2,693,055","96,917","783,853",29.11%,"42,918","826,771",30.7%,Click Here
DALLAS,"1,467,410","53,899","407,581",27.78%,"21,874","429,455",29.27%,Click Here
TARRANT,"1,309,456","58,085","425,804",32.52%,"20,718","446,522",34.1%,Click Here
BEXAR,"1,295,580","52,413","368,722",28.46%,"17,998","386,720",29.85%,Click Here
TRAVIS,"926,313","37,562","305,011",32.93%,"17,362","322,373",34.8%,Click Here
COLLIN,"748,752","35,438","292,623",39.08%,"8,994","301,617",40.28%,Click Here
DENTON,"661,565","26,499","265,898",40.19%,"8,683","274,581",41.5%,Click Here
FORT BEND,"555,569","24,326","206,484",37.17%,"5,199","211,683",38.1%,Click Here
EL PASO,"521,945","14,850","110,211",21.12%,"8,210","118,421",22.69%,Click Here
MONTGOMERY,"453,832","24,389","152,059",33.51%,"8,260","160,319",35.33%,Click Here
HIDALGO,"446,417","12,465","105,781",23.7%,"4,410","110,191",24.68%,Click Here
WILLIAMSON,"445,326","19,914","175,769",39.47%,"7,727","183,496",41.2%,Click Here
BRAZORIA,"249,840","10,359","97,145",38.88%,"2,624","99,769",39.93%,Click Here
GALVESTON,"245,695","10,244","94,210",38.34%,"4,297","98,507",40.09%,Click Here
BELL,"240,207","9,013","65,866",27.42%,"3,482","69,348",28.87%,Click Here
CAMERON,"238,215","6,244","57,970",24.34%,"2,814","60,784",25.52%,Click Here
NUECES,"218,753","7,601","61,132",27.95%,"5,148","66,280",30.3%,Click Here
LUBBOCK,"197,198","7,990","70,353",35.68%,"2,258","72,611",36.82%,Click Here
HAYS,"186,198","8,816","67,493",36.25%,"2,562","70,055",37.62%,Click Here
SMITH,"162,009","6,698","59,531",36.75%,"2,256","61,787",38.14%,Click Here
MCLENNAN,"159,331","6,710","45,865",28.79%,"2,533","48,398",30.38%,Click Here
WEBB,"148,536","3,653","28,398",19.12%,963,"29,361",19.77%,Click Here
JEFFERSON,"147,938","5,461","50,208",33.94%,"2,850","53,058",35.87%,Click Here
ELLIS,"147,399","6,548","54,743",37.14%,"1,517","56,260",38.17%,Click Here
COMAL,"143,696","8,499","58,674",40.83%,"3,093","61,767",42.98%,Click Here
BRAZOS,"133,384","5,750","40,628",30.46%,"2,160","42,788",32.08%,Click Here
GUADALUPE,"130,489","5,462","47,016",36.03%,"2,272","49,288",37.77%,Click Here
JOHNSON,"129,287","6,626","45,076",34.87%,735,"45,811",35.43%,Click Here
PARKER,"127,635","6,612","50,130",39.28%,"2,060","52,190",40.89%,Click Here
KAUFMAN,"108,165","4,470","36,706",33.94%,784,"37,490",34.66%,Click Here
GRAYSON,"100,124","3,851","37,548",37.5%,"1,426","38,974",38.93%,Click Here
RANDALL,"100,105","4,258","37,524",37.48%,"2,180","39,704",39.66%,Click Here
MIDLAND,"99,004","4,173","29,611",29.91%,745,"30,356",30.66%,Click Here
TAYLOR,"89,791","3,505","29,772",33.16%,"1,252","31,024",34.55%,Click Here
ROCKWALL,"87,932","4,535","36,769",41.82%,"1,191","37,960",43.17%,Click Here
ECTOR,"86,640","2,544","19,106",22.05%,"1,008","20,114",23.22%,Click Here
WICHITA,"79,805","2,469","23,874",29.92%,"1,269","25,143",31.51%,Click Here
GREGG,"76,263","2,564","27,357",35.87%,"1,057","28,414",37.26%,Click Here
HUNT,"72,860","2,923","21,992",30.18%,978,"22,970",31.53%,Click Here
TOM GREEN,"72,586","2,920","23,603",32.52%,"1,722","25,325",34.89%,Click Here
BOWIE,"62,656","2,281","18,544",29.6%,"1,178","19,722",31.48%,Click Here
BASTROP,"61,403","2,566","21,472",34.97%,"1,073","22,545",36.72%,Click Here
POTTER,"59,681","1,731","16,221",27.18%,"1,198","17,419",29.19%,Click Here
HENDERSON,"59,479","2,443","21,984",36.96%,"1,007","22,991",38.65%,Click Here
VICTORIA,"58,087","2,190","15,365",26.45%,"2,091","17,456",30.05%,Click Here
ORANGE,"56,232","2,293","20,708",36.83%,754,"21,462",38.17%,Click Here
ANGELINA,"55,965","2,008","19,356",34.59%,806,"20,162",36.03%,Click Here
WISE,"55,864","2,353","22,731",40.69%,714,"23,445",41.97%,Click Here
LIBERTY,"54,530","1,941","17,524",32.14%,430,"17,954",32.92%,Click Here
HOOD,"51,704","2,974","20,429",39.51%,"1,139","21,568",41.71%,Click Here
HARRISON,"47,283","1,844","17,439",36.88%,443,"17,882",37.82%,Click Here
CORYELL,"46,995","1,355","12,978",27.62%,656,"13,634",29.01%,Click Here
SAN PATRICIO,"45,265","1,174","13,175",29.11%,747,"13,922",30.76%,Click Here
WALLER,"44,330","1,773","14,352",32.38%,400,"14,752",33.28%,Click Here
POLK,"44,308","1,259","11,940",26.95%,"2,341","14,281",32.23%,Click Here
HARDIN,"43,116","1,788","16,483",38.23%,415,"16,898",39.19%,Click Here
VAN ZANDT,"41,749","1,640","9,593",22.98%,428,"10,021",24.0%,Click Here
KERR,"40,065","1,578","17,210",42.96%,"1,164","18,374",45.86%,Click Here
NACOGDOCHES,"40,051","1,440","13,254",33.09%,916,"14,170",35.38%,Click Here
BURNET,"39,186","1,562","16,408",41.87%,"1,276","17,684",45.13%,Click Here
WILSON,"39,092","1,629","16,019",40.98%,761,"16,780",42.92%,Click Here
KENDALL,"38,959","1,926","17,949",46.07%,"1,125","19,074",48.96%,Click Here
WALKER,"38,958","1,612","14,022",35.99%,502,"14,524",37.28%,Click Here
MEDINA,"38,525","1,497","14,742",38.27%,537,"15,279",39.66%,Click Here
